0.5 3.7328 0.0136616
1 2.19725 0.0104815
1.5 1.639 0.00905262
2 1.28225 0.00800703
2.5 1.04955 0.00724414
3 0.87135 0.00660057
3.5 0.74865 0.00611821
4 0.6369 0.00564314
4.5 0.54585 0.00522422
5 0.465 0.00482183
5.5 0.41965 0.00458067
6 0.36975 0.00429971
6.5 0.31905 0.00399406
7 0.28355 0.0037653
7.5 0.24975 0.00353377
8 0.2276 0.00337343
8.5 0.2033 0.00318826
9 0.1884 0.0030692
9.5 0.1575 0.00280624
10 0.14495 0.00269212
